Lens ID,Title,Date Published,Publication Year,Publication Type,Author/s,Abstract,Fields of Study,Keywords,Citing Works Count
000-084-617-101-137,ATCI (1) - The Impact of Technological Innovation on Regional Economic Development Under the Background of Internet.,2021-06-24,2021,book,Xia Zhong,"The use of computers in people’s work and life has become more and more extensive. While its use has improved the people’s living standards, it has also promoted the development of various industries. Technological progress has laid the foundation for the development of Internet technology. With the maturity of network technology, the regional economy has also developed very well. China has maintained a relatively high economic growth rate since the reform and opening up, and internal technological innovation is the basic guarantee for the healthy development of the regional economy. This shows that traditional economic growth methods can no longer meet the economic needs of modern society, and sustainable economic advancement with technology as the core is the main way to continue economic development. The positive promotion effect of technological innovation is very significant in regional development and has profound practical significance.",The Internet; Technological change; Standard of living; Business; Work (electrical); China; Regional development; Economic growth rate; Maturity (finance); Economic growth,,0
000-153-782-326-117,The Effect of Corporate Social Responsibility on the Technology Innovation of High-Growth Business Organizations,2021-06-29,2021,journal article,Jun Huang; Peijun Xie; Yating Zeng; Yun Li,"The implementation of innovation-driven strategy requires business organizations to actively conduct technological innovation activities. Corporate social responsibility (CSR) performance is an important factor to promote technological innovation, and venture capital (VC) as a matching capital with technological innovation also affects technological innovation. Using Chinese listed companies on the Growth Enterprise Market (GEM) during the 2014–2018 period as a sample, we study the role of corporate social responsibility performance in technological innovation and the impact of venture capital on the relationship between the two. We find that social responsibility performance can effectively promote innovation, which is promoted significantly by the shareholder responsibility and employee responsibility dimensions of social responsibility. We also find that venture capital inhibits the promotion of social responsibility to technological innovation. This work will guide VC institutions to pay more attention to business organizations social innovation projects.",Shareholder; Corporate social responsibility; Business; Social responsibility; Matching (statistics); Work (electrical); Venture capital; Industrial organization; Promotion (rank); Capital (economics),,1
000-159-349-888-829,Financial sustainability of the construction firms towards the era of industrial revolution 4.0: The role of technological innovation,2020-12-01,2020,conference proceedings article,Hui Shan Lee; Sin Yee Lee; Wai-Mun Har; Shen Yap,"As the fourth industrial revolution (IR 4.0) momentum has developed recently, its transformation had made the global infrastructure gap narrower and stimulated economic development in general. However, the construction sector has been uncertain about entirely embracing new technological opportunities. The objective of this study is to examine the impacts of technological innovation on the financial performance of the contractor firms. This study employed panel regression models to examine the 30 largest contractors in the world with a sample period from the year 2010 to 2019. The results showed that technological innovation expenditure and the revenues generated from technological innovation were negatively related to the financial performance of the contractors in the current years. This study provided new insights that the lag effect of the technological innovation expenditure would prompt higher financial performance of the contractors. The results demonstrated that technological innovation might not induce higher revenues but the improvement in business performance was still observed. Rather than blindly increasing the revenues, these results indicated that technological innovation could enhance the project management and procedures, enrich the quality and boost the productivity of the contractors that lead to better financial performance. The implication of this study implied that technological innovation costs arise in the present, the benefits of research and development (R&D), however, are long-term. The lifeblood of the construction industry is R&D. Thus, appropriate promotion and funding of R&D are needed to foster the diffusion of innovations to ensure the sustainability of the construction sector and economic growth.",Business; Revenue; Productivity; Quality (business); Diffusion of innovations; Industrial organization; Sustainable development; Panel data; Sustainability; Promotion (rank),,1
000-283-265-401-188,"Financial agglomeration, technological innovation, and green total factor energy efficiency",,2021,journal article,Xuefeng Li; Dalai Ma,"Abstract Based on the panel data of 30 Chinese provinces in 2000–2018, this paper measures the green total factor energy efficiency (GTFEE) of China with the super-slack-based measure (Super-SBM) model. Then, the spatial correlation of provincial GTFEEs was analyzed, a spatial econometric model was established based on the panel data, and was used to empirically verify the effect of financial agglomeration, technological innovation, and financial agglomeration and technological innovation interaction on GTFEE. The results show that: in the sample period, most Chinese provinces had a low GTFEE, and the low-GTFEE provinces mainly belong to inland area; only a few eastern coastal provinces achieved a satisfactory GTFEE. China and its three regions exhibited similar trends of GTFEE. By mean GTFEE, eastern region ranked the highest, followed by central region; the western region came at the bottom. The Global Moran’s I values show strong spatial correlations between provincial GTFEEs, that is, adjacent provinces often have similar GTFEEs, and the provinces tend to cluster in terms of GTFEE. According to the spatial econometric model, GTFEE is significantly inhibited by financial agglomeration, but significantly promoted by technological innovation. GTFEE is not clearly affected by financial agglomeration and technological innovation interaction. Opening up has a significant positive impact on GTFEE, while industrial structure, energy structure and environmental regulation have a significant negative impact on GTFEE.",Finance; Economies of agglomeration; Econometric model; China; Geography; Efficient energy use; Environmental regulation; Energy structure; Sample (statistics); Panel data,,15
000-361-747-666-622,Study on incentive and supervision mechanisms of technological innovation in megaprojects based on the principal-agent theory,2020-08-25,2020,journal article,Jiawei Liu; Guanghong Ma,"The high uncertainty of technological innovation in megaprojects brings great challenges to the R&D institution and also acts as a trigger for moral hazard. The incentive and supervision are effective means to improve the performance of innovation. The purpose of this paper is to propose appropriate incentive and supervision mechanisms to reduce information asymmetry and improve the efficiency of incentives. Suggestions on technological innovation are put forward to megaprojects management.,According to the principal-agent theory, the research develops incentive models under three states, i.e. information symmetry, information asymmetry and information asymmetry based on supervision mechanism. The Bayesian theory is employed to prove the effectiveness of the novel supervision method based on risk assessment.,The results indicate that under the information asymmetry, the incentive intensity is positively correlated with the social benefits coefficient, and negatively correlated with the patent benefits coefficient. The R&D effort and the owner's incentive intensity decline with the increase of information asymmetry. The supervision of risks can effectively reduce the degree of information asymmetry, and the higher the uncertainty of innovations, the more significant the effect of supervision is. As the supervision intensity increases, the incentive intensity, the R&D effort and the innovation output will increase. In addition, the R&D institutions with high innovation capability, low unit cost of R&D and low risk-aversion are more willing to make efforts to innovate.,This study fills the research gap on incentive and supervision of technological innovation in megaprojects. The externality of innovation benefits is considered in the model. The traditional incentive model is extended through the introduction of supervision. Furthermore, a novel supervision method based on risk assessment is proposed. The results validate the importance of risk management in technological innovation and provide a new insight for project management.",Information asymmetry; Business; Project management; Externality; Principal–agent problem; Moral hazard; Incentive; Risk management; Industrial organization; Unit cost,,8
000-497-940-746-23X,Teknolojik İnovasyona Yönelik Uyumda Tüketici Yenilikçiliğinin Rolü: Algılanan Değerin Aracı Etkisi,2021-03-28,2021,journal article,Emine Şenbabaoğlu Danacı; Nurettin Parıltı,"Purpose - Although a new technological innovation introduced to the market is critical to the success and growth of businesses, the main success for these innovations can be achieved with the acceptance and adaptation of consumers. Accordingly, the study investigated whether the effect of consumers’ innovative attitudes on their adaptation to technological innovation and whether perceived value (Zeithaml, 1988), which is a highly influential factor in consumers’ decision making, mediates this relationship. Design/methodology/approach - After the data obtained from 540 smartphone users were subjected to some preliminary analysis, the relationships between variables were measured by structural equation modeling. Within the scope of the analysis of the study, in accordance with the purpose of the study, firstly, independence check test of answers, common method deviation test, descriptive analysis, normality test, correlation analysis, reliability analysis, explanatory factor analysis, confirmatory factor analysis and finally path analysis were performed. Findings - According to the findings, the innovativeness of the consumers affects both the perceived value of the consumers and the adaptation towards technological innovations in a significant and positive way. The perceived value also affects the adaptation towards technological innovation in a significant and positive way. In addition, it has been determined that as consumer innovativeness increases with the partial mediation role achieved as a result of the analysis, the effect of perceived value on adaptation to technological innovation strengthens. Discussion - Although there are a limited number of studies investigating the impact of consumer innovativeness in the adoption of innovations (Jones et al., 2002; Schreier et al., 2007; Tellis et al., 2009); No study has been found to determine the effect of the perceived value in the said relationship. Since it is thought that the tendency of innovative individuals to adapt to innovation, which they do not perceive value, will be low, the concept of perceived value, which is subjective and changes with the change and development of goods or services, was used as a mediator in the study.",Psychology; Marketing; Value (ethics); Test (assessment); Descriptive statistics; Confirmatory factor analysis; Mediation (statistics); Structural equation modeling; Path analysis (statistics); Adaptation (computer science),,0
000-653-310-870-537,Information Systems Governance and Industry 4.0: People as a Central Link,,2021,book chapter,Pedro Fernandes da Anunciação; Fernando Miguel Gonçalves; João Pimenta,"<jats:p>The information society requires governance. The complexity of the markets is bringing complexity to the functioning of economic organizations. The pressure of technological innovation challenges the need for governance on organizational systems, in particular on information systems. But the role of technological innovation is pressing for the re-qualification and re-balance of jobs and professions themselves. This process has come to assert itself as a result of the affirmation of Industry 4.0, where, evidently, technologies accelerate the replacement of human presence in the production system. </jats:p>",Link (knot theory); Business; Information system; Industry 4.0; Corporate governance; Industrial organization,,1
000-767-911-071-883,System Dynamics Modeling of Logistics Hub Capacity: The Dubai Logistics Corridor Case Study,2020-04-16,2020,book chapter,Alberto De Marco; Hussein Fakhry; Marco Postorino; Zakaria Mammar; Hakim Hacid,"This paper proposes a System Dynamics (SD) modeling and simulation-based approach to support decision making and policy actions to make appropriate and effective investment decisions about the planning of an intermodal air, sea and land logistics hub capacity. The Dubai Logistics Corridor (DLC) is used as a concrete case study. The model offers the necessary decision support that captures the complexity of managing the logistics hub along with overcoming the implicit policy resistance. The paper illustrates the case study model, application, and various case scenario simulations. The model can be used as a predictive tool to encourage decision making and detecting capacity bottlenecks to help in planning and scheduling the capacity investment of a logistics hub.",Decision support system; Scheduling (production processes); Investment (macroeconomics); Investment decisions; Computer science; Operations research; System dynamics,,0
000-776-059-798-423,Influence of Financialization of Heavily Polluting Enterprises on Technological Innovation under the Background of Environmental Pollution Control.,2021-12-17,2021,journal article,Yingying Zhou; Yuehan Du; Fengyi Lei; Ziru Su; Yifei Feng; Jie Li,"In the wake of the acceleration of China's industrialization and rapid economic growth, environmental pollution has also attracted great attention. The technological innovation of heavily polluting enterprises is conducive to reducing pollution emissions and promoting environmental health. The financial investment tendency and behavior of real enterprises have a significant impact on the technological innovation decision-making of enterprises. A panel model is used in this paper in order to empirically test the impact of financialization of Chinese heavily polluting enterprises on technological innovation based on the data of Listed Companies in Chinese heavily polluting industries from 2008 to 2019. The + results show that the financialization of heavily polluting enterprises has a significant crowding out effect on technological innovation. After introducing arbitrage motivation as the regulating variable, further research finds that arbitrage motivation weakens the inhibitory effect of enterprise financialization on technological innovation, that is, the stronger the arbitrage motivation, the smaller the negative effect of financialization on enterprise technological innovation, which weakens this crowding out effect. Finally, the listed enterprises in heavily polluting industries are divided into state-owned enterprises and non-state-owned enterprises according to their corporate attributes. Compared with state-owned enterprises, the financialization of non-state-owned enterprises has a greater squeeze out of technological innovation; and arbitrage motivation has a more significant regulatory effect on the impact of enterprise financialization on technological innovation.",Financialization; Arbitrage; Business; Economics; Industrial organization; Investment (military); Environmental pollution; Economic system,environmental pollution; financialization; heavily polluting enterprises; technological innovation,2
000-822-933-331-817,Barriers to the Adoption of Technological Innovations in Corrections: A Review and Case Study.,2020-08-27,2020,journal article,Tanja C. Link; Beverly Reece,"Over 600,000 criminal justice involved individuals are released from state and federal prisons each year, and close to 5,000,000 former offenders are placed under some form of community-based super...",Criminal justice; Political science; State (polity); Criminology,case study; community supervision; corrections; reentry; reentry services; returning citizens; technological innovations,3
000-879-332-738-264,"Sabiá: an authentication, authorization, and user data delivery architecture based on user consent for health information systems in Brazil",2020-03-14,2020,journal article,Túlio de Paiva Marques Carvalho; Jailton Carlos de Paiva; Ricardo Alexsandro de Medeiros Valentim; Carlos Breno Pereira Silva; Diêgo Ferreira de Lima; Emerson Costa Silva,"Health information systems in Brazil have been designed and developed in a heterogeneous manner based on local regional characteristics, resulting in a lack of health information integrity. In this context, the Brazilian Ministry of Health pointed out the need for interoperability solutions of health information systems, noting the importance of integration with national databases and alignment with Brazilian data protection laws. Therefore, this paper presents Sabia, a platform for authentication, authorization, and data delivery based on user consent for health information systems in Brazil. Sabia’s architecture is designed to achieve the following requirements: (R1) Provide a Federated Identity; (R2) Be a Federated Resource Manager; (R3) Collect user data from different information systems; and (R4) Deliver user data to systems based on user consent. Sabia consists of three main components: (1) Sabia Authorization Server, responsible for implementing Open Authentication; (2) Sabia Collector, responsible for collecting data from different information systems; and (3) Sabia Resource Server, responsible for delivering data previously authorized by the user to the systems. After analyzing historical data, R4 functionality was selected to be submitted to performance testing because it is the process that most affects overall system performance. The tests aimed at analyzing Sabia’s behavior in the heaviest scenario based on historical data. The results showed no flaws and indicated system stability and consistency, in which the user perceives a system reaction instantaneous, whose response time averages remained below 100 ms.",Consistency (database systems); Health informatics; Authentication; Information system; Interoperability; Federated identity; Context (language use); Computer science; Data Protection Act 1998; Database,,0
001-117-511-631-775,The driving effect of technological innovation on green development: dynamic efficiency spatial variation.,2022-07-04,2022,journal article,Manli Cheng; Zongguo Wen; Shanlin Yang,"In order to further explore the internal transmission mechanism between technological innovation and green development in manufacturing industry under the background of obvious development characteristics in the new era, this paper constructed an integrated methodology system to evaluate the internal impact mechanism of technological innovation value chain efficiency on green development efficiency based on spatial perspective. First, the Network Slack-based model and Global Malmquist-Luenberger model are constructed to reveal the internal development law of technological innovation and green development of manufacturing industry. Secondly, the spatial Dubin model is employed to analyze the impact of current development characteristics and technological innovation on green development. The results show that innovation value chain efficiency is higher than technological innovation efficiency, and economic transformation efficiency is lower than that of technological innovation value chain. During the study period, the efficiency of technological innovation value chain in the four economic regions present fluctuant growth trend, and the eastern region has the highest value. The green development efficiency in the east, central, west, and northeast regions of manufacturing industry is higher than 1, and it shows an obvious spatial agglomeration effect. Besides, the efficiency of technological innovation, information and communication technology, urbanization, and the advanced industrial structure are all conducive to the improvement of green development in manufacturing industry. This paper studies the influence mechanism of technological innovation value chain efficiency on green development based on spatial perspective and puts forward relevant countermeasures and suggestions to effectively promote green development of manufacturing industry, providing relevant theoretical research for green and high-quality development.",Green development; Technological change; Industrial organization; Malmquist index; Order (exchange); Manufacturing; Economic geography; Value (mathematics); Business; Green growth; Economics,Green development; Internal transmission mechanism; Spatial model; Technological innovation,0
001-130-033-755-904,Multi-Session Visual SLAM for Illumination-Invariant Re-Localization in Indoor Environments.,2022-06-16,2022,journal article,Mathieu Labbé; François Michaud,"For robots navigating using only a camera, illumination changes in indoor environments can cause re-localization failures during autonomous navigation. In this paper, we present a multi-session visual SLAM approach to create a map made of multiple variations of the same locations in different illumination conditions. The multi-session map can then be used at any hour of the day for improved re-localization capability. The approach presented is independent of the visual features used, and this is demonstrated by comparing re-localization performance between multi-session maps created using the RTAB-Map library with SURF, SIFT, BRIEF, BRISK, KAZE, DAISY, and SuperPoint visual features. The approach is tested on six mapping and six localization sessions recorded at 30 min intervals during sunset using a Google Tango phone in a real apartment.",Computer science; Session (web analytics); Artificial intelligence; Simultaneous localization and mapping; Computer vision; Scale-invariant feature transform,feature matching; localization; mobile robotics; robot vision; visual SLAM (simultaneous localization and mapping),0
